x_0	y_0	x_1	y_1	x_2	y_2	x_3	y_3	x_4	y_4	x_5	y_5	x_6	y_6	x_7	y_7	x_8	y_8	x_9	y_9	x_10	y_10	x_11	y_11	x_12	y_12	x_13	y_13	x_14	y_14	x_15	y_15	x_16	y_16	x_17	y_17	x_18	y_18	x_19	y_19	x_20	y_20	x_21	y_21	x_22	y_22	x_23	y_23	x_24	y_24	x_25	y_25	x_26	y_26	x_27	y_27	x_28	y_28	x_29	y_29	x_30	y_30	x_31	y_31	x_32	y_32	x_33	y_33	x_34	y_34	x_35	y_35	x_36	y_36	x_37	y_37	x_38	y_38	x_39	y_39	x_40	y_40	x_41	y_41	x_42	y_42	x_43	y_43	x_44	y_44	x_45	y_45	x_46	y_46	x_47	y_47	x_48	y_48	x_49	y_49	x_50	y_50	x_51	y_51	x_52	y_52	x_53	y_53	x_54	y_54	x_55	y_55	x_56	y_56	x_57	y_57	x_58	y_58	x_59	y_59	x_60	y_60	x_61	y_61	x_62	y_62	x_63	y_63	x_64	y_64	x_65	y_65	x_66	y_66	x_67	y_67	x_68	y_68	x_69	y_69	x_70	y_70	x_71	y_71	x_72	y_72	x_73	y_73	x_74	y_74	x_75	y_75	x_76	y_76	x_77	y_77	x_78	y_78	x_79	y_79	x_80	y_80	x_81	y_81	x_82	y_82	x_83	y_83	x_84	y_84	x_85	y_85	x_86	y_86	x_87	y_87	x_88	y_88
25.39	464.97	31.88	342.19	31.16	354.99	46.05	347.19	74.65	398.20	77.00	196.00	79.00	201.00	81.47	231.00	82.00	201.00	82.00	203.00	85.00	201.67	85.51	356.99	86.00	187.00	91.70	198.36	92.01	105.82	96.47	322.58	111.19	449.99	128.69	475.66	141.30	338.71	153.52	296.00	160.00	294.00	164.00	290.00	186.00	207.00	187.59	450.46	200.97	166.69	213.58	183.27	220.61	492.96	232.19	335.25	231.00	514.00	256.67	446.07	254.52	446.32	295.96	446.44	296.36	82.06	303.17	365.74	313.68	173.30	318.25	146.37	320.30	152.17	325.23	210.75	325.15	210.87	332.70	412.31	333.72	510.33	341.52	75.92	348.62	173.20	349.67	136.73	357.91	265.22	365.70	430.07	369.21	301.59	379.69	414.59	396.73	129.30	385.00	138.00	386.00	128.00	389.28	128.43	390.00	138.00	393.78	184.54	401.27	181.13	439.63	371.76	439.33	371.07	461.00	1.00	464.01	201.97	465.50	4.53	466.52	273.00	470.00	4.50	480.53	435.71	484.77	125.37	515.96	499.97	553.57	79.41	554.00	78.00	568.09	253.82	567.84	171.53	569.29	489.21	572.00	130.00	573.97	120.52	581.63	178.37	583.66	132.70	587.51	393.47	587.00	128.00	624.53	387.91	641.52	193.51	642.46	417.25	649.63	104.64	664.59	224.20	668.75	113.24	671.24	129.52	677.67	28.65	678.33	45.67	681.89	34.59	681.50	39.74	682.50	47.00	686.33	43.19
25.46	464.44	31.88	341.92	32.48	354.75	45.58	347.09	74.42	398.29	77.00	196.00	89.82	200.05	81.46	231.00	82.00	201.00	82.00	203.00	85.00	201.67	85.28	356.76	86.00	187.00	91.70	198.36	91.63	106.10	96.86	322.13	111.22	449.73	128.68	475.69	140.52	339.00	154.00	296.00	160.50	293.50	164.00	290.00	187.00	207.00	187.45	450.54	200.60	166.90	213.60	183.21	221.21	493.53	232.44	335.68	230.33	514.34	254.90	446.22	257.41	446.40	295.56	445.94	296.52	81.74	302.92	365.68	313.30	173.56	318.04	146.41	320.34	151.99	324.70	211.00	324.24	210.97	332.71	412.32	333.55	510.50	342.51	75.59	348.56	173.56	349.87	137.43	357.93	265.10	364.92	429.81	369.25	301.80	379.80	415.16	399.08	129.73	384.00	139.00	386.00	128.00	388.85	129.27	390.00	138.00	393.45	184.23	401.00	181.13	439.08	371.24	439.52	371.66	465.33	4.68	463.91	202.27	470.00	4.49	467.00	274.00	470.00	4.50	480.27	435.94	484.42	125.32	516.01	499.77	554.68	78.66	554.39	80.21	567.69	253.81	568.02	172.34	569.37	489.28	574.00	133.00	574.39	120.21	581.63	178.37	583.65	132.98	588.04	393.64	587.00	128.50	624.79	387.84	641.78	193.04	642.38	417.72	649.38	104.45	663.73	224.02	669.01	113.25	669.48	130.00	678.66	28.66	682.73	46.07	680.87	35.02	684.90	42.09	682.50	47.00	686.33	43.19
25.35	464.97	32.17	341.98	32.67	355.30	45.88	346.62	75.20	398.29	84.34	200.57	89.82	200.05	80.52	231.00							86.57	357.31	85.99	187.00			91.68	106.28	97.78	322.58	111.05	450.17	129.32	475.30	140.00	339.49	154.00	296.00	161.00	294.00			187.00	208.00	187.98	451.02	200.78	167.35	213.97	182.69	220.57	494.28	233.38	335.58	231.00	514.00	255.64	447.10	257.62	447.54	294.87	446.46	297.35	81.36	303.26	364.98	313.21	174.16	319.39	146.58	320.85	152.11	324.71	210.03	325.22	210.62	332.69	412.29	334.45	510.50	342.73	75.31	348.12	173.84	349.77	138.20	358.07	264.83	365.13	429.99	368.51	301.89	379.77	415.65	396.18	129.56	389.00	139.00	388.76	129.30	388.85	129.27			393.17	183.88	401.37	181.19	439.62	371.74	439.52	371.66	465.50	4.51	464.03	202.60	470.00	4.51	467.50	273.50			480.76	436.30	484.16	126.36	516.19	500.10	554.20	78.62	553.92	80.76	568.11	253.41	568.73	172.36	569.80	489.64	573.00	129.00	575.39	120.61			585.28	132.33	588.85	394.36	588.00	127.51	625.22	387.80	641.72	193.35	643.35	417.58	649.19	104.29	664.70	223.40	670.39	113.40	672.41	130.84	679.49	29.00	684.50	47.00	682.88	35.34	687.47	43.47	679.39	45.79	682.50	39.50
25.67	465.03	32.64	342.30	32.40	356.17	45.61	345.83	74.82	398.17	84.27	200.81			80.50	231.00							86.43	357.75	85.99	187.00			91.82	106.42	97.45	322.83	110.99	450.05	128.69	475.31	139.71	339.31			165.00	288.00			187.00	207.49	187.69	451.32	200.77	167.00	214.12	182.57	221.22	494.04	232.98	335.77	231.00	514.00	255.00	448.00	257.40	448.13	294.70	446.83	297.14	81.73	303.83	365.24	313.19	173.52	320.91	152.24	322.50	146.50	325.24	209.97	325.63	210.38	332.56	412.48	334.29	510.65	342.49	75.31	348.69	173.68	349.99	138.35	358.25	264.87	364.90	429.71	368.77	301.92	379.91	415.22	398.74	130.21	389.00	139.00	388.11	129.00	385.00	128.00			393.81	184.28	399.68	178.57	438.85	371.87			464.68	3.67	464.39	202.93	470.00	4.00	467.33	273.67			480.52	436.41	484.44	126.18	516.38	499.83	553.40	79.19	553.15	80.23	567.93	253.16	568.59	171.61	569.93	490.01	573.00	129.00	574.78	120.81			585.18	131.82	589.40	394.05	588.00	127.51	625.19	387.60	643.00	193.49	643.58	417.73	649.45	104.04	664.31	223.27	670.02	114.49	672.30	131.44	679.24	28.76	681.49	46.75	681.51	35.00	687.10	43.90	682.50	40.00	684.00	35.00
25.46	465.00	31.17	342.64	33.05	356.06	45.47	345.79	74.12	398.55	84.44	200.84			81.00	231.45							86.73	358.00					91.44	106.51	97.18	322.70	112.10	450.00	128.00	475.52	140.00	339.56			165.00	288.00			186.00	207.50	187.76	452.22	200.92	167.63	214.92	183.02	221.25	494.38	232.19	336.46			257.00	446.00	257.13	447.81	295.13	446.75	297.45	81.86	304.43	365.35	313.03	174.38	321.16	152.80	322.50	146.50	324.66	210.67	324.72	210.27	332.00	413.45	334.00	511.47	342.99	75.55	348.60	173.74	349.71	138.73	359.34	264.92	364.26	429.60	369.04	300.57	379.85	415.94	398.78	130.45	387.50	140.00	387.99	129.78	385.00	130.00			394.23	184.38	400.57	181.37	438.67	371.82			464.32	4.31	465.04	203.20	469.00	4.03	468.00	274.00			480.76	436.17	484.43	126.12	516.22	500.19	553.16	79.16	552.90	80.08	568.23	253.36	569.01	171.87	570.36	490.57	574.49	132.49	574.81	120.80			584.80	131.57	589.74	393.79			626.09	387.79	643.24	193.04	643.99	417.81	649.45	103.47	663.97	223.25	671.49	114.00	671.51	132.00	678.51	29.00	685.69	44.56	682.45	34.93	682.00	40.00	682.50	40.00	684.00	35.00
25.69	465.19	31.58	342.92	30.69	358.23	45.00	346.07	74.35	398.43	84.24	200.71			81.50	231.00							86.53	358.01					91.70	106.76	97.12	322.74	111.69	450.19	128.69	475.67	140.00	340.45			164.50	290.50			186.00	207.50	187.83	452.38	201.42	167.38	214.66	183.22	221.48	494.77	232.46	335.74			255.74	447.26	257.06	447.00	295.28	447.19	297.11	81.89	304.53	365.44	312.98	174.86	321.62	152.67			325.16	210.18	325.69	210.12	332.46	413.00	334.29	511.33	343.14	75.57	348.48	173.99	349.62	138.59	359.54	265.19	363.94	429.54	369.00	300.89	379.59	415.84	398.76	131.05	387.00	141.00	387.88	130.13	377.84	130.62			394.80	184.99	400.68	181.17	438.72	371.52			464.51	4.52	465.27	203.47	469.00	4.03	467.67	274.32			481.10	435.75	484.67	125.95	516.37	500.15	553.21	79.38	547.10	77.24	568.17	253.59	569.20	172.28	570.86	490.06	575.49	133.49	574.99	121.01			584.74	131.52	590.28	393.40			625.59	387.56	642.77	193.01	643.99	417.01	649.41	103.66	663.63	223.64	671.00	115.32	674.45	132.67	679.00	29.49	684.89	40.33	682.45	34.93	679.51	46.00				
26.24	465.73	31.34	343.25	33.48	357.12	45.41	346.64	74.28	399.87	84.35	201.29			81.30	231.33							87.52	357.51					92.30	107.46	96.55	322.47	111.32	450.26	129.00	476.51	140.35	340.31			164.50	290.50			186.49	206.51	187.38	453.14	201.71	168.18	215.12	183.34	220.93	494.95	232.52	336.13			255.00	447.00	256.61	447.27	295.17	448.18	296.53	82.20	305.03	365.41	313.23	174.61	321.82	152.68			325.49	210.49	327.17	211.33	332.48	412.50	334.51	511.48	343.58	75.62	348.72	174.10	349.73	138.10	358.98	265.57	363.38	429.95	369.08	301.50	380.21	416.28	399.18	130.88	385.50	140.00	387.43	130.15	378.14	130.41			394.30	185.57	401.35	181.70	438.29	370.58			464.53	4.50	465.96	203.10	469.25	4.73	467.32	273.68			481.22	435.90	484.75	125.70	516.09	500.45	554.21	79.62	547.77	79.15	567.86	252.77	570.03	173.05	570.97	489.87	572.00	129.50	573.78	122.46			584.28	132.22	590.17	392.10			626.15	388.11	642.49	194.49	644.02	417.01	648.45	104.61	664.30	223.94	672.01	114.32	673.97	133.00	678.00	30.00	684.19	41.16	680.00	38.00	679.51	46.00				
27.20	465.85	31.89	343.31	33.39	357.16	45.25	346.42	74.04	399.61	85.77	201.28			81.31	231.32							87.49	357.51					92.47	107.69	96.04	322.40	110.79	451.23	129.50	477.00	140.54	340.48			161.00	295.00			186.00	208.00	187.60	452.94	201.37	168.60	215.05	183.46	221.77	495.14	232.68	336.52			254.43	447.73	257.15	446.94	294.83	447.69	296.75	82.38	304.68	365.73	313.24	174.90	321.64	152.64			325.83	211.39	327.20	211.09	332.71	412.64	335.00	511.53	343.62	75.60	348.87	174.31	349.87	137.58	359.46	265.07	363.42	430.08	368.54	301.29	379.98	416.31	399.44	130.94	385.00	140.00	387.60	129.80	378.10	130.54			393.94	185.14	400.25	181.24	438.18	371.27			464.99	4.50	465.30	202.47	469.19	4.24	467.66	273.66			480.96	436.16	484.61	125.90	516.28	500.71	554.33	79.83	554.26	81.31	567.47	252.90	581.29	177.39	570.95	489.61	572.00	130.00	574.80	121.81			584.37	134.00	590.18	392.31			626.00	388.57	642.59	195.20	644.49	416.96	648.05	104.48	664.43	223.99	672.49	114.00	673.00	133.00	678.00	29.51	684.79	43.89	682.31	35.66	678.39	46.39				
27.68	465.21	30.40	342.11	30.86	358.44	45.59	346.24	73.79	398.86	87.38	201.47			81.33	230.69							87.49	358.00					92.46	107.94	96.18	322.57	110.30	451.98	129.66	476.70	141.00	340.00			161.00	295.00			186.00	207.50	188.06	453.15	201.59	168.30	215.19	183.38	222.16	495.50	233.31	336.54			254.69	448.07	257.13	447.68	294.62	447.76	296.29	81.87	304.67	365.63	313.57	176.21	321.84	152.61			326.00	211.49	327.41	211.33	332.33	412.71	335.51	511.47	343.41	76.07	348.84	173.65	349.17	137.36	358.93	264.63	362.89	429.38	368.15	301.45	380.70	416.68	398.56	130.23	384.49	140.00	387.84	130.17	377.68	128.74			393.41	184.99	400.06	182.21	437.75	371.95			465.23	4.42	465.12	202.82	469.38	4.03	467.51	274.00			481.15	436.87	485.02	126.38	516.34	501.09	553.51	79.51	553.71	81.25	567.67	252.80	571.94	175.64	570.78	489.13	573.00	133.00	574.02	121.98			583.72	132.86	590.06	392.01			626.26	389.11	642.52	195.47	643.58	416.66	648.02	105.28	664.14	223.87	672.67	113.65	673.69	131.84	678.00	28.97	683.71	40.94	682.31	35.66	677.00	46.00				
27.55	465.52	30.87	342.20	32.13	357.07	45.46	346.00	73.78	398.87	88.57	201.39			81.68	230.69							87.51	358.48					92.46	107.83	96.10	323.38	110.33	452.01	129.54	477.49	141.00	340.75			161.00	296.00			186.00	207.00	188.09	453.25	201.11	168.29	215.16	183.19	222.20	495.61	234.33	336.33			254.90	448.41	257.22	448.08	295.09	447.29	296.26	81.99	304.98	365.74	313.18	176.81	321.82	152.36			326.00	211.29	326.80	210.99	332.65	413.29	335.48	512.00	343.43	76.25	348.53	173.96	348.91	137.55	359.50	265.11	363.26	429.53	367.96	301.63	380.29	417.24	399.04	130.32	378.06	129.78	387.00	129.66	377.68	128.74			393.17	185.82	400.62	182.81	436.88	371.36			466.22	4.42	465.07	202.82	470.13	4.24	467.53	274.00			480.96	436.34	485.05	126.55	516.20	501.08	554.49	79.51	560.12	82.17	567.55	252.97	572.64	176.83	570.22	489.24	572.49	132.49	573.49	122.00			583.44	132.33	590.15	391.89			626.36	390.21	641.54	194.50	643.76	416.56	647.54	106.07	664.12	224.12	672.67	113.65	673.50	132.00	677.32	29.34	682.67	40.16			678.00	47.00				
