Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	447941	1	OK	0.8068246	0.0057006	-0.5874243	-0.0627239	12.747	-39.044	-1320.006	0.1149763	0	Stray Markers	447941	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.407	-23.981	-1238.928
2	Port 2: NDI 8700340  s/n:34802401	447944	1	OK	0.8068440	0.0053445	-0.5874268	-0.0624812	12.776	-39.072	-1319.955	0.1177072	0	Stray Markers	447944	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.401	-23.978	-1238.930
2	Port 2: NDI 8700340  s/n:34802401	447947	1	OK	0.8069491	0.0056852	-0.5872134	-0.0630968	12.761	-39.035	-1319.993	0.1195717	0	Stray Markers	447947	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.403	-23.983	-1238.943
2	Port 2: NDI 8700340  s/n:34802401	447950	1	OK	0.8070841	0.0047812	-0.5871014	-0.0624854	12.778	-39.090	-1319.935	0.1174537	0	Stray Markers	447950	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.410	-23.980	-1238.958
2	Port 2: NDI 8700340  s/n:34802401	447953	1	OK	0.8073119	0.0054458	-0.5866263	-0.0639328	12.763	-39.030	-1319.975	0.1133374	0	Stray Markers	447953	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.403	-23.976	-1238.925
2	Port 2: NDI 8700340  s/n:34802401	447956	1	OK	0.8078431	0.0045968	-0.5858663	-0.0642577	12.759	-39.032	-1319.986	0.1049140	0	Stray Markers	447956	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.408	-23.979	-1238.959
2	Port 2: NDI 8700340  s/n:34802401	447959	1	OK	0.8085071	0.0039429	-0.5848850	-0.0648864	12.753	-39.032	-1319.989	0.1084701	0	Stray Markers	447959	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.403	-23.962	-1238.902
2	Port 2: NDI 8700340  s/n:34802401	447962	1	OK	0.8090213	0.0026593	-0.5841734	-0.0649527	12.770	-39.055	-1319.951	0.1146721	0	Stray Markers	447962	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.393	-23.949	-1238.884
2	Port 2: NDI 8700340  s/n:34802401	447965	1	OK	0.8092166	0.0018668	-0.5838314	-0.0656195	12.768	-39.021	-1319.969	0.1227721	0	Stray Markers	447965	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.386	-23.932	-1238.799
2	Port 2: NDI 8700340  s/n:34802401	447968	1	OK	0.8095408	0.0013845	-0.5833132	-0.0662387	12.734	-39.078	-1320.034	0.1146030	0	Stray Markers	447968	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.393	-23.951	-1238.809
2	Port 2: NDI 8700340  s/n:34802401	447971	1	OK	0.8099553	0.0008170	-0.5826539	-0.0669791	12.730	-39.069	-1320.021	0.1164727	0	Stray Markers	447971	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.387	-23.940	-1238.824
2	Port 2: NDI 8700340  s/n:34802401	447974	1	OK	0.8101674	0.0009395	-0.5821823	-0.0684957	12.761	-39.033	-1319.957	0.1188885	0	Stray Markers	447974	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.385	-23.920	-1238.789
2	Port 2: NDI 8700340  s/n:34802401	447977	1	OK	0.8105358	0.0000229	-0.5815467	-0.0695351	12.762	-39.042	-1319.962	0.1066213	0	Stray Markers	447977	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.381	-23.908	-1238.715
2	Port 2: NDI 8700340  s/n:34802401	447980	1	OK	0.8110389	-0.0009621	-0.5807553	-0.0702727	12.725	-39.038	-1320.040	0.1095325	0	Stray Markers	447980	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.371	-23.903	-1238.694
2	Port 2: NDI 8700340  s/n:34802401	447983	1	OK	0.8113106	-0.0015815	-0.5802651	-0.0711687	12.756	-39.035	-1319.960	0.1119705	0	Stray Markers	447983	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.367	-23.886	-1238.645
2	Port 2: NDI 8700340  s/n:34802401	447986	1	OK	0.8117715	-0.0021449	-0.5795230	-0.0719409	12.748	-39.024	-1319.970	0.1168854	0	Stray Markers	447986	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.354	-23.855	-1238.550
2	Port 2: NDI 8700340  s/n:34802401	447989	1	OK	0.8122461	-0.0029460	-0.5788218	-0.0722005	12.733	-39.051	-1319.994	0.1214941	0	Stray Markers	447989	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.346	-23.834	-1238.476
2	Port 2: NDI 8700340  s/n:34802401	447992	1	OK	0.8128141	-0.0036117	-0.5778842	-0.0732803	12.726	-39.051	-1320.018	0.1064682	0	Stray Markers	447992	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.341	-23.831	-1238.447
2	Port 2: NDI 8700340  s/n:34802401	447995	1	OK	0.8134852	-0.0045708	-0.5767833	-0.0744444	12.725	-39.050	-1320.002	0.1222106	0	Stray Markers	447995	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.326	-23.795	-1238.369
2	Port 2: NDI 8700340  s/n:34802401	447998	1	OK	0.8143256	-0.0057260	-0.5754251	-0.0756771	12.745	-39.038	-1319.954	0.1185645	0	Stray Markers	447998	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.319	-23.773	-1238.334
2	Port 2: NDI 8700340  s/n:34802401	448001	1	OK	0.8156724	-0.0069762	-0.5732902	-0.0772542	12.686	-39.041	-1320.074	0.1022533	0	Stray Markers	448001	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.306	-23.760	-1238.222
2	Port 2: NDI 8700340  s/n:34802401	448004	1	OK	0.8166907	-0.0077940	-0.5715492	-0.0792914	12.684	-38.994	-1320.076	0.1007496	0	Stray Markers	448004	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.301	-23.745	-1238.224
2	Port 2: NDI 8700340  s/n:34802401	448007	1	OK	0.8173121	-0.0090971	-0.5704502	-0.0806525	12.722	-39.039	-1319.978	0.1130877	0	Stray Markers	448007	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.306	-23.726	-1238.208
2	Port 2: NDI 8700340  s/n:34802401	448010	1	OK	0.8174066	-0.0096475	-0.5700731	-0.0822797	12.664	-39.042	-1320.092	0.1180868	0	Stray Markers	448010	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.310	-23.742	-1238.204
2	Port 2: NDI 8700340  s/n:34802401	448013	1	OK	0.8164307	-0.0099376	-0.5712177	-0.0839792	12.732	-39.058	-1319.941	0.1203542	0	Stray Markers	448013	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.305	-23.757	-1238.238
2	Port 2: NDI 8700340  s/n:34802401	448016	1	OK	0.8150747	-0.0093777	-0.5726899	-0.0871296	12.710	-39.020	-1320.004	0.1071305	0	Stray Markers	448016	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.323	-23.772	-1238.313
2	Port 2: NDI 8700340  s/n:34802401	448019	1	OK	0.8134611	-0.0103862	-0.5746333	-0.0892730	12.724	-39.046	-1319.983	0.1053179	0	Stray Markers	448019	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.322	-23.777	-1238.329
2	Port 2: NDI 8700340  s/n:34802401	448022	1	OK	0.8116144	-0.0109659	-0.5767323	-0.0924217	12.699	-39.043	-1320.031	0.1143697	0	Stray Markers	448022	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.329	-23.786	-1238.411
2	Port 2: NDI 8700340  s/n:34802401	448025	1	OK	0.8090620	-0.0111601	-0.5796753	-0.0962847	12.700	-39.029	-1320.031	0.1061490	0	Stray Markers	448025	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.344	-23.817	-1238.432
2	Port 2: NDI 8700340  s/n:34802401	448028	1	OK	0.8069345	-0.0120613	-0.5822391	-0.0985337	12.720	-39.045	-1320.006	0.1152684	0	Stray Markers	448028	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.354	-23.826	-1238.538
2	Port 2: NDI 8700340  s/n:34802401	448031	1	OK	0.8060847	-0.0123148	-0.5830917	-0.1003983	12.724	-39.030	-1319.995	0.1099725	0	Stray Markers	448031	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.355	-23.825	-1238.499
