Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	657901	1	OK	0.6614013	-0.0181707	-0.7328757	-0.1584655	12.027	-37.888	-1318.737	0.1382751	0	Stray Markers	657901	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.282	-26.452	-1239.162
2	Port 2: NDI 8700340  s/n:34802401	657904	1	OK	0.6615891	-0.0197881	-0.7323319	-0.1599943	12.028	-37.877	-1318.838	0.1474673	0	Stray Markers	657904	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.288	-26.463	-1239.156
2	Port 2: NDI 8700340  s/n:34802401	657907	1	OK	0.6616769	-0.0221873	-0.7319273	-0.1611637	12.025	-37.854	-1318.744	0.1311900	0	Stray Markers	657907	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.291	-26.485	-1239.203
2	Port 2: NDI 8700340  s/n:34802401	657910	1	OK	0.6623475	-0.0254737	-0.7309225	-0.1624783	12.017	-37.833	-1318.848	0.1213305	0	Stray Markers	657910	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.293	-26.490	-1239.252
2	Port 2: NDI 8700340  s/n:34802401	657913	1	OK	0.6630380	-0.0290202	-0.7298892	-0.1637077	12.018	-37.764	-1318.836	0.1233216	0	Stray Markers	657913	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.304	-26.529	-1239.262
2	Port 2: NDI 8700340  s/n:34802401	657916	1	OK	0.6645636	-0.0339724	-0.7282509	-0.1638649	12.001	-37.714	-1318.856	0.1385658	0	Stray Markers	657916	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.293	-26.525	-1239.208
2	Port 2: NDI 8700340  s/n:34802401	657919	1	OK	0.6652969	-0.0366032	-0.7271147	-0.1653618	11.998	-37.714	-1318.821	0.1248914	0	Stray Markers	657919	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.288	-26.499	-1239.214
2	Port 2: NDI 8700340  s/n:34802401	657922	1	OK	0.6660175	-0.0382850	-0.7256374	-0.1685389	11.997	-37.704	-1318.921	0.1345168	0	Stray Markers	657922	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.289	-26.482	-1239.153
2	Port 2: NDI 8700340  s/n:34802401	657925	1	OK	0.6666086	-0.0413742	-0.7244976	-0.1703652	12.001	-37.672	-1318.912	0.1249410	0	Stray Markers	657925	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.290	-26.453	-1239.185
2	Port 2: NDI 8700340  s/n:34802401	657928	1	OK	0.6670819	-0.0449555	-0.7235775	-0.1715121	12.013	-37.644	-1318.845	0.1201750	0	Stray Markers	657928	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.293	-26.480	-1239.181
2	Port 2: NDI 8700340  s/n:34802401	657931	1	OK	0.6677045	-0.0488976	-0.7224193	-0.1728872	12.005	-37.615	-1318.858	0.1426538	0	Stray Markers	657931	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.291	-26.496	-1239.192
2	Port 2: NDI 8700340  s/n:34802401	657934	1	OK	0.6693512	-0.0552475	-0.7203256	-0.1733429	12.004	-37.568	-1318.979	0.1239599	0	Stray Markers	657934	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.307	-26.536	-1239.308
