Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	360371	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360371	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-169.195	6.470	-1012.045	OK	-149.441	142.115	-1008.224
2	Port 2: NDI 8700340  s/n:34802401	360374	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360374	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-172.502	8.501	-1016.055	OK	-152.035	143.991	-1010.984
2	Port 2: NDI 8700340  s/n:34802401	360377	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360377	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-177.358	10.621	-1017.678	OK	-155.352	145.875	-1012.860
2	Port 2: NDI 8700340  s/n:34802401	360380	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360380	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-179.354	12.078	-1019.899	OK	-157.137	147.286	-1014.897
2	Port 2: NDI 8700340  s/n:34802401	360383	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360383	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-180.938	13.546	-1021.684	OK	-158.436	148.692	-1016.299
2	Port 2: NDI 8700340  s/n:34802401	360386	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360386	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-181.517	14.686	-1021.252	OK	-159.127	149.866	-1016.279
2	Port 2: NDI 8700340  s/n:34802401	360389	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360389	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-182.485	15.829	-1021.225	OK	-159.885	150.978	-1016.288
2	Port 2: NDI 8700340  s/n:34802401	360392	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360392	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-184.476	16.825	-1022.795	OK	-161.326	151.852	-1017.388
2	Port 2: NDI 8700340  s/n:34802401	360395	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360395	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-188.976	18.322	-1028.300	OK	-163.919	152.906	-1020.875
2	Port 2: NDI 8700340  s/n:34802401	360398	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360398	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-188.285	19.076	-1031.961	OK	-162.976	153.544	-1023.398
