Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 2: NDI 8700340  s/n:34802401	474245	1	OK	0.8143863	-0.2042336	-0.4432247	-0.3140311	79.213	-31.247	-1247.162	0.1055738	0	Stray Markers	474245	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474248	1	OK	0.8141685	-0.2040606	-0.4435284	-0.3142791	79.200	-31.259	-1247.156	0.1050628	0	Stray Markers	474248	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474251	1	OK	0.8138088	-0.2034834	-0.4438910	-0.3150723	79.198	-31.234	-1247.206	0.1045543	0	Stray Markers	474251	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474254	1	OK	0.8137476	-0.2036134	-0.4439868	-0.3150114	79.195	-31.252	-1247.171	0.1077976	0	Stray Markers	474254	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474257	1	OK	0.8136034	-0.2035126	-0.4440602	-0.3153454	79.215	-31.255	-1247.144	0.1027869	0	Stray Markers	474257	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474260	1	OK	0.8136405	-0.2034133	-0.4440697	-0.3153004	79.194	-31.248	-1247.164	0.1055404	0	Stray Markers	474260	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474263	1	OK	0.8133502	-0.2032449	-0.4445126	-0.3155337	79.222	-31.276	-1247.130	0.1071422	0	Stray Markers	474263	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474266	1	OK	0.8133347	-0.2031037	-0.4444631	-0.3157343	79.223	-31.232	-1247.167	0.1030467	0	Stray Markers	474266	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474269	1	OK	0.8133733	-0.2032071	-0.4441298	-0.3160371	79.200	-31.221	-1247.198	0.1053635	0	Stray Markers	474269	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474272	1	OK	0.8130872	-0.2029740	-0.4443500	-0.3166131	79.231	-31.174	-1247.204	0.1010765	0	Stray Markers	474272	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474275	1	OK	0.8128236	-0.2030725	-0.4445203	-0.3169876	79.232	-31.117	-1247.207	0.1019286	0	Stray Markers	474275	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474278	1	OK	0.8129597	-0.2023778	-0.4446595	-0.3168876	79.198	-30.769	-1247.173	0.1094519	0	Stray Markers	474278	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474281	1	OK	0.8124643	-0.2021331	-0.4453228	-0.3173824	79.205	-30.744	-1247.141	0.1074317	0	Stray Markers	474281	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474284	1	OK	0.8122186	-0.2019126	-0.4458191	-0.3174548	79.207	-30.656	-1247.113	0.1128989	0	Stray Markers	474284	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	474287	1	OK	0.8126563	-0.2010168	-0.4457382	-0.3170165	79.190	-30.187	-1247.063	0.1119242	0	Stray Markers	474287	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.304	-29.637	-1242.007
2	Port 2: NDI 8700340  s/n:34802401	474290	1	OK	0.8130096	-0.2010516	-0.4452876	-0.3167216	79.169	-29.950	-1247.065	0.1114704	0	Stray Markers	474290	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.273	-29.317	-1241.464
2	Port 2: NDI 8700340  s/n:34802401	474293	1	OK	0.8129006	-0.2009476	-0.4453767	-0.3169422	79.128	-29.775	-1247.068	0.1126402	0	Stray Markers	474293	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.283	-29.247	-1241.417
2	Port 2: NDI 8700340  s/n:34802401	474296	1	OK	0.8127913	-0.2000935	-0.4455590	-0.3175061	79.102	-29.309	-1247.140	0.1036913	0	Stray Markers	474296	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.267	-29.021	-1241.459
2	Port 2: NDI 8700340  s/n:34802401	474299	1	OK	0.8130026	-0.1997618	-0.4456247	-0.3170815	79.090	-28.853	-1247.075	0.1092419	0	Stray Markers	474299	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.251	-28.731	-1241.632
2	Port 2: NDI 8700340  s/n:34802401	474302	1	OK	0.8131728	-0.1987960	-0.4456710	-0.3171868	79.062	-28.316	-1247.048	0.1034813	0	Stray Markers	474302	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.271	-28.527	-1241.966
2	Port 2: NDI 8700340  s/n:34802401	474305	1	OK	0.8128909	-0.1990672	-0.4456506	-0.3177676	79.097	-28.229	-1247.005	0.1057936	0	Stray Markers	474305	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.258	-28.372	-1241.763
2	Port 2: NDI 8700340  s/n:34802401	474308	1	OK	0.8128836	-0.1998885	-0.4450774	-0.3180737	79.067	-28.177	-1247.060	0.1125109	0	Stray Markers	474308	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.244	-28.323	-1241.814
2	Port 2: NDI 8700340  s/n:34802401	474311	1	OK	0.8128755	-0.1989644	-0.4451410	-0.3185844	79.027	-27.576	-1247.076	0.1047355	0	Stray Markers	474311	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.241	-28.172	-1241.958
2	Port 2: NDI 8700340  s/n:34802401	474314	1	OK	0.8124749	-0.1988603	-0.4455446	-0.3191069	78.995	-27.196	-1247.105	0.1075275	0	Stray Markers	474314	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.253	-27.968	-1241.850
2	Port 2: NDI 8700340  s/n:34802401	474317	1	OK	0.8124782	-0.1986329	-0.4455061	-0.3192936	78.942	-26.666	-1247.142	0.1097934	0	Stray Markers	474317	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.243	-27.680	-1242.192
2	Port 2: NDI 8700340  s/n:34802401	474320	1	OK	0.8126876	-0.1983161	-0.4451463	-0.3194595	78.931	-26.079	-1247.118	0.1068718	0	Stray Markers	474320	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.203	-26.948	-1242.397
2	Port 2: NDI 8700340  s/n:34802401	474323	1	OK	0.8127990	-0.1990368	-0.4445884	-0.3195047	78.924	-25.729	-1247.046	0.1112517	0	Stray Markers	474323	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.209	-26.526	-1242.728
2	Port 2: NDI 8700340  s/n:34802401	474326	1	OK	0.8128270	-0.1986924	-0.4443413	-0.3199913	78.805	-25.002	-1247.126	0.1106540	0	Stray Markers	474326	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.190	-26.045	-1243.131
