Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 2: NDI 8700340  s/n:34802401	453665	1	OK	0.6744405	0.1464195	-0.7035238	0.1695453	79.152	-33.086	-1247.109	0.0849079	0	Stray Markers	453665	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453668	1	OK	0.6739096	0.1452934	-0.7041757	0.1699184	79.154	-33.093	-1247.020	0.0915914	0	Stray Markers	453668	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453671	1	OK	0.6742400	0.1432854	-0.7042754	0.1698996	79.156	-33.102	-1247.092	0.0910305	0	Stray Markers	453671	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453674	1	OK	0.6749152	0.1426807	-0.7039636	0.1690175	79.143	-33.082	-1247.046	0.0880094	0	Stray Markers	453674	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453677	1	OK	0.6752122	0.1433667	-0.7040045	0.1670695	79.129	-33.052	-1247.072	0.0922941	0	Stray Markers	453677	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453680	1	OK	0.6749757	0.1438964	-0.7042832	0.1663933	79.128	-33.053	-1247.087	0.0936141	0	Stray Markers	453680	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453683	1	OK	0.6745312	0.1436116	-0.7047373	0.1665195	79.130	-33.053	-1247.021	0.0926897	0	Stray Markers	453683	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453686	1	OK	0.6737448	0.1447280	-0.7053288	0.1662317	79.124	-33.048	-1247.076	0.0884719	0	Stray Markers	453686	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453689	1	OK	0.6727134	0.1450643	-0.7060196	0.1671809	79.135	-33.068	-1247.127	0.0878439	0	Stray Markers	453689	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453692	1	OK	0.6727559	0.1452012	-0.7059629	0.1671302	79.128	-33.053	-1247.129	0.0878364	0	Stray Markers	453692	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
