Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	649363	1	OK	0.7103887	-0.2140794	-0.6615934	-0.1086834	70.827	67.601	-1248.510	0.0931114	0	Stray Markers	649363	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.500	-19.192	-1237.906
2	Port 2: NDI 8700340  s/n:34802401	649366	1	OK	0.7104977	-0.2141189	-0.6614258	-0.1089123	70.821	67.613	-1248.597	0.0953821	0	Stray Markers	649366	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.499	-19.194	-1237.860
2	Port 2: NDI 8700340  s/n:34802401	649369	1	OK	0.7106034	-0.2160065	-0.6609279	-0.1075095	70.806	67.583	-1248.553	0.1050458	0	Stray Markers	649369	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.502	-19.179	-1237.930
2	Port 2: NDI 8700340  s/n:34802401	649372	1	OK	0.7107661	-0.2166714	-0.6606417	-0.1068530	70.803	67.583	-1248.595	0.0886343	0	Stray Markers	649372	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.496	-19.160	-1237.852
2	Port 2: NDI 8700340  s/n:34802401	649375	1	OK	0.7104922	-0.2177033	-0.6606613	-0.1064551	70.803	67.580	-1248.582	0.0941514	0	Stray Markers	649375	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.495	-19.178	-1237.865
2	Port 2: NDI 8700340  s/n:34802401	649378	1	OK	0.7100944	-0.2187313	-0.6608518	-0.1058182	70.800	67.574	-1248.569	0.0992130	0	Stray Markers	649378	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.485	-19.175	-1237.789
2	Port 2: NDI 8700340  s/n:34802401	649381	1	OK	0.7097468	-0.2195618	-0.6610529	-0.1051724	70.797	67.579	-1248.622	0.1025185	0	Stray Markers	649381	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.486	-19.189	-1237.771
2	Port 2: NDI 8700340  s/n:34802401	649384	1	OK	0.7092001	-0.2200261	-0.6615900	-0.1045102	70.797	67.591	-1248.608	0.0883166	0	Stray Markers	649384	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.490	-19.192	-1237.800
2	Port 2: NDI 8700340  s/n:34802401	649387	1	OK	0.7085701	-0.2204083	-0.6622387	-0.1038679	70.782	67.588	-1248.626	0.0988584	0	Stray Markers	649387	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.480	-19.214	-1237.766
2	Port 2: NDI 8700340  s/n:34802401	649390	1	OK	0.7078919	-0.2208460	-0.6628992	-0.1033481	70.755	67.546	-1248.601	0.0932519	0	Stray Markers	649390	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.485	-19.207	-1237.748
2	Port 2: NDI 8700340  s/n:34802401	649393	1	OK	0.7074019	-0.2218049	-0.6632257	-0.1025518	70.739	67.578	-1248.644	0.0999547	0	Stray Markers	649393	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.480	-19.232	-1237.700
2	Port 2: NDI 8700340  s/n:34802401	649396	1	OK	0.7069106	-0.2224295	-0.6635479	-0.1025022	70.693	67.594	-1248.718	0.1047368	0	Stray Markers	649396	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.478	-19.254	-1237.655
2	Port 2: NDI 8700340  s/n:34802401	649399	1	OK	0.7065831	-0.2239547	-0.6635261	-0.1015761	70.628	67.599	-1248.841	0.0957762	0	Stray Markers	649399	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.488	-19.307	-1237.701
2	Port 2: NDI 8700340  s/n:34802401	649402	1	OK	0.7061407	-0.2239303	-0.6639814	-0.1017317	70.445	67.554	-1248.967	0.0974466	0	Stray Markers	649402	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.508	-19.344	-1237.878
2	Port 2: NDI 8700340  s/n:34802401	649405	1	OK	0.7061116	-0.2240892	-0.6638833	-0.1022225	70.062	67.506	-1249.439	0.0931105	0	Stray Markers	649405	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.397	-19.158	-1236.984
2	Port 2: NDI 8700340  s/n:34802401	649408	1	OK	0.7064940	-0.2246207	-0.6631661	-0.1030658	69.397	67.468	-1250.197	0.0948616	0	Stray Markers	649408	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.511	-19.368	-1237.885
2	Port 2: NDI 8700340  s/n:34802401	649411	1	OK	0.7064695	-0.2244075	-0.6631281	-0.1039390	68.728	67.400	-1250.897	0.0905624	0	Stray Markers	649411	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.411	-19.205	-1237.068
2	Port 2: NDI 8700340  s/n:34802401	649414	1	OK	0.7053057	-0.2235923	-0.6646370	-0.1039615	68.541	67.397	-1251.106	0.1034908	0	Stray Markers	649414	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.497	-19.343	-1237.765
2	Port 2: NDI 8700340  s/n:34802401	649417	1	OK	0.7064815	-0.2232368	-0.6631814	-0.1060174	67.368	67.246	-1252.364	0.0913365	0	Stray Markers	649417	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.504	-19.385	-1237.845
2	Port 2: NDI 8700340  s/n:34802401	649420	1	OK	0.7063139	-0.2232118	-0.6631267	-0.1075179	66.678	67.220	-1253.058	0.1073458	0	Stray Markers	649420	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.498	-19.370	-1237.742
2	Port 2: NDI 8700340  s/n:34802401	649423	1	OK	0.7068334	-0.2231507	-0.6624102	-0.1086414	65.716	67.122	-1254.182	0.1002857	0	Stray Markers	649423	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.506	-19.371	-1237.763
2	Port 2: NDI 8700340  s/n:34802401	649426	1	OK	0.7073443	-0.2229159	-0.6617082	-0.1100674	64.644	67.029	-1255.335	0.1094880	0	Stray Markers	649426	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.496	-19.360	-1237.734
2	Port 2: NDI 8700340  s/n:34802401	649429	1	OK	0.7077297	-0.2222077	-0.6611801	-0.1121755	63.674	66.905	-1256.493	0.0823857	0	Stray Markers	649429	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.488	-19.343	-1237.648
2	Port 2: NDI 8700340  s/n:34802401	649432	1	OK	0.7080020	-0.2223845	-0.6605121	-0.1140261	62.758	66.798	-1257.511	0.0827038	0	Stray Markers	649432	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.494	-19.372	-1237.694
2	Port 2: NDI 8700340  s/n:34802401	649435	1	OK	0.7077452	-0.2216731	-0.6608341	-0.1151347	62.079	66.776	-1258.273	0.1043611	0	Stray Markers	649435	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.489	-19.350	-1237.644
2	Port 2: NDI 8700340  s/n:34802401	649438	1	OK	0.7077016	-0.2222088	-0.6605466	-0.1160167	61.208	66.676	-1259.166	0.1076238	0	Stray Markers	649438	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.482	-19.327	-1237.603
2	Port 2: NDI 8700340  s/n:34802401	649441	1	OK	0.7077653	-0.2224636	-0.6600035	-0.1182095	60.141	66.590	-1260.342	0.0909961	0	Stray Markers	649441	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.502	-19.378	-1237.740
2	Port 2: NDI 8700340  s/n:34802401	649444	1	OK	0.7077906	-0.2220570	-0.6597474	-0.1202351	59.140	66.515	-1261.541	0.0920874	0	Stray Markers	649444	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.475	-19.316	-1237.527
2	Port 2: NDI 8700340  s/n:34802401	649447	1	OK	0.7073070	-0.2208607	-0.6603568	-0.1219271	58.235	66.425	-1262.491	0.0921681	0	Stray Markers	649447	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.460	-19.275	-1237.394
2	Port 2: NDI 8700340  s/n:34802401	649450	1	OK	0.7071015	-0.2202271	-0.6605581	-0.1231682	57.246	66.331	-1263.599	0.0928770	0	Stray Markers	649450	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.427	-19.117	-1237.149
2	Port 2: NDI 8700340  s/n:34802401	649453	1	OK	0.7069235	-0.2193332	-0.6605766	-0.1256610	56.012	66.215	-1264.934	0.1004416	0	Stray Markers	649453	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.520	-19.393	-1238.032
2	Port 2: NDI 8700340  s/n:34802401	649456	1	OK	0.7074591	-0.2201805	-0.6594921	-0.1268557	54.462	66.063	-1266.653	0.1074998	0	Stray Markers	649456	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.617	-19.881	-1238.654
2	Port 2: NDI 8700340  s/n:34802401	649459	1	OK	0.7072572	-0.2199561	-0.6593752	-0.1289610	52.889	65.909	-1268.403	0.0885699	0	Stray Markers	649459	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.632	-20.048	-1238.406
2	Port 2: NDI 8700340  s/n:34802401	649462	1	OK	0.7073607	-0.2188348	-0.6593459	-0.1304421	51.169	65.751	-1270.275	0.0763472	0	Stray Markers	649462	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.634	-20.140	-1238.272
2	Port 2: NDI 8700340  s/n:34802401	649465	1	OK	0.7066289	-0.2165336	-0.6604751	-0.1325195	49.764	65.588	-1271.840	0.1020277	0	Stray Markers	649465	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.617	-20.254	-1238.070
